id;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta;winner_seconds;second_seconds;third_seconds;average_speed;num_runners;total_length;num_stages;debut_date;end_date;first_mountain;second_mountain;third_mountain;first_mountain_points;second_mountain_points;third_mountain_points;first_sprint;second_sprint;third_sprint;first_sprint_points;second_sprint_points;third_sprint_points
0;1903;Maurice Garin;Lucien Pothier;Fernand Augereau;France;La Française;32;94hr 33min 14sec;3 days 22:33:14.000000000;340394.0;55;2099;25,7;60;2428;6;01/07/1903;19/07/1903;;;;;;;;;;;;
1;1904;Henri Cornet;Jean-Baptiste Dortignacq;Aloïs Catteau;France;Cycles JC;20;96hr 5min 55sec;4 days 00:05:55.000000000;345955.0;388;6663;25,265;88;2429;6;02/07/1904;24/07/1904;;;;;;; ;;;;;
2;1905;Louis Trousselier;Hippolyte Aucouturier;Jean-Baptiste Dortignacq;France;Peugeot;24;;;;;;27,107;60;2994;11;09/07/1905;30/07/1905;;;;;;;;;;;;
3;1906;René Pottier;Georges Passerieu;Louis Trousselier;France;Peugeot;27;;;;;;24,463;78;4545;13;04/07/1906;29/07/1906;;;;;;;;;;;;
4;1907;Lucien Petit-Breton;Gustave Garrigou;Émile Georget;France;Peugeot;24;;;;;;28,47;93;4488;14;08/07/1907;04/08/1907;;;;;;;;;;;;
5;1908;Lucien Petit-Breton;François Faber;Georges Passerieu;France;Peugeot;25;;;;;;28,74;114;4488;14;13/07/1908;09/08/1908;;;;;;;;;;;;
6;1909;François Faber;Gustave Garrigou;Jean Alavoine;Luxembourg;Alcyon;22;;;;;;28,658;150;4497;14;05/07/1909;01/08/1909;;;;;;;;;;;;
7;1910;Octave Lapize;François Faber;Gustave Garrigou;France;Alcyon;22;;;;;;28,68;69;4737;15;03/07/1910;31/07/1910;;;;;;;;;;;;
8;1911;Gustave Garrigou;Paul Duboc;Émile Georget;France;Alcyon;29;;;;;;27,322;84;5344;15;02/07/1911;30/07/1911;;;;;;;;;;;;
9;1912;Odile Defraye;Eugène Christophe;Gustave Garrigou;Belgium;Alcyon;24;;;;;;27,763;131;5289;15;30/06/1912;28/07/1912;;;;;;;;;;;;
10;1913;Philippe Thys;Gustave Garrigou;Marcel Buysse;Belgium;Peugeot;23;197hr 54min 0sec;8 days 05:54:00.000000000;712440.0;517;12655;26,715;140;5388;15;29/06/1913;27/07/1913;;;;;;;;;;;;
11;1914;Philippe Thys;Henri Pélissier;Jean Alavoine;Belgium;Peugeot;24;200hr 28min 49sec;8 days 08:28:49.000000000;721729.0;110;2213;27,028;145;5405;15;28/06/1914;26/07/1914;;;;;;;;;;;;
12;1919;Firmin Lambot;Jean Alavoine;Eugène Christophe;Belgium;La Sportive;33;231hr 7min 15sec;9 days 15:07:15.000000000;832035.0;6174;8791;24,056;67;5560;15;29/06/1919;27/07/1919;;;;;;;;;;;;
13;1920;Philippe Thys;Hector Heusghem;Firmin Lambot;Belgium;La Sportive;30;228hr 36min 13sec;9 days 12:36:13.000000000;822973.0;3441;5975;24,072;91;5503;15;27/06/1920;25/07/1920;;;;;;;;;;;;
14;1921;Léon Scieur;Hector Heusghem;Honoré Barthélemy;Belgium;La Sportive;33;221hr 50min 26sec;9 days 05:50:26.000000000;798626.0;1116;7260;24,724;123;5485;15;26/06/1921;24/07/1921;;;;;;;;;;;;
15;1922;Firmin Lambot;Jean Alavoine;Félix Sellier;Belgium;Peugeot;36;222hr 8min 6sec;9 days 06:08:06.000000000;799686.0;2475;2522;24,196;120;5375;15;25/06/1922;23/07/1921;;;;;;;;;;;;
16;1923;Henri Pélissier;Ottavio Bottecchia;Romain Bellenger;France;Automoto;34;222hr 15min 30sec;9 days 06:15:30.000000000;800130.0;1841;3883;24,233;139;5386;15;24/06/1923;22/07/1923;;;;;;;;;;;;
17;1924;Ottavio Bottecchia;Nicolas Frantz;Lucien Buysse;Italy;Automoto;30;226hr 18min 21sec;9 days 10:18:21.000000000;814701.0;2136;5533;24,25;157;5425;15;22/06/1924;20/07/1924;;;;;;;;;;;;
18;1925;Ottavio Bottecchia;Lucien Buysse;Bartolomeo Aymo;Italy;Automoto;31;219hr 10min 18sec;9 days 03:10:18.000000000;789018.0;3380;3517;24,82;85;5430;18;21/06/1925;19/07/1925;;;;;;;;;;;;
19;1926;Lucien Buysse;Nicolas Frantz;Bartolomeo Aymo;Belgium;Automoto;33;238hr 44min 25sec;9 days 22:44:25.000000000;859465.0;4945;4971;24,063;126;5745;17;20/06/1926;18/07/1926;;;;;;;;;;;;
20;1927;Nicolas Frantz;Maurice De Waele;JulienVervaecke;Luxembourg;Alcyon;28;198hr 16min 42sec;8 days 06:16:42.000000000;713802.0;6501;8706;27,224;142;5321;24;19/06/1927;17/07/1927;;;;;;;;;;;;
21;1928;Nicolas Frantz;André Leducq;Maurice De Waele;Luxembourg;Alcyon;29;192hr 48min 58sec ;8 days 00:48:58.000000000;694138.0;3007;3376;27,876;86;5375;22;17/06/1928;15/07/1928;;;;;;;;;;;;
22;1929;Maurice De Waele;Giuseppe Pancera;Jef Demuysère;Belgium;Alcyon;33;186hr 39min 16sec;7 days 18:39:16.000000000;671956.0;2663;3430;28,32;155;5276;22;30/06/1929;28/07/1929;;;;;;;;;;;;
23;1930;André Leducq;Learco Guerra;Antonin Magne;France;France;26;172hr 12min 16sec;7 days 04:12:16.000000000;619936.0;853;963;27,978;100;4818;21;02/07/1930;27/07/1930;;;;;;;;;;;;
24;1931;Antonin Magne;Jef Demuysère;Antonio Pesenti;France;France;27;177hr 10min 3sec;7 days 09:10:03.000000000;637803.0;776;1371;28,735;81;5095;24;30/06/1931;26/07/1931;;;;;;;;;;;;
25;1932;André Leducq;Kurt Stoepel;Francesco Camusso;France;France;28;154hr 11min 49sec ;6 days 10:11:49.000000000;555109.0;1443;1581;29,313;80;4520;21;06/07/1932;31/07/1932;;;;;;;;;;;;
26;1933;Georges Speicher;Learco Guerra;Giuseppe Martano;France;France;26;147hr 51min 37sec;6 days 03:51:37.000000000;532297.0;241;308;29,818;80;4395;23;27/06/1933;23/07/1933;;;;;;;;;;;;
27;1934;Antonin Magne;Giuseppe Martano;Roger Lapébie;France;France;30;147hr 13min 58sec;6 days 03:13:58.000000000;530038.0;1651;3135;30,36;60;4363;23;03/07/1934;29/07/1934;;;;;;;;;;;;
