,id,year,first,second,third,first_origin,second_origin,third_origin,winning_team,age,first_chrono,winner_timedelta,first_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
0,1,1909,Luigi Ganna,Carlo Galetti,Giovanni Rossignoli,Italie,Italie,Italie,Atala,25,,,,,,27.26,127,2448,8,1909-05-13,1909-05-30,,,,,,,,,,,,,,,,,,
1,2,1910,Carlo Galetti,Eberardo Pavesi,Luigi Ganna,Italie,Italie,Italie,Atala,27,,,,,,26.113000000000003,101,2980,10,1910-05-18,1910-06-05,,,,,,,,,,,,,,,,,,
2,3,1911,Carlo Galetti,Giovanni Rossignoli,Giovanni Gerbi,Italie,Italie,Italie,Bianchi,28,,,,,,26.215999999999998,86,3530,12,1911-05-15,1911-06-06,,,,,,,,,,,,,,,,,,
3,4,1912,Carlo Galetti,,,Italie,,,Atala,29,100h 2min 57s,4 days 04:02:57,360177.0,,,27.323,54,2443,9,1912-05-19,1912-06-02,,,,,,,,,,,,,,,,,,
4,5,1913,Carlo Oriani,Eberardo Pavesi,Giuseppe Azzini,Italie,Italie,Italie,Maino,25,,,,,,26.379,99,2932,9,1913-05-06,1913-05-22,,,,,,,,,,,,,,,,,,
5,6,1914,Alfonso Calzolari,Pierino Albini,Luigi Lucotti,Italie,Italie,Italie,Stucchi,27,135h 17min 65s,5 days 15:18:05,487085.0,,,23.374000000000002,98,3160,8,1914-05-24,1914-06-07,,,,,,,,,,,,,,,,,,
6,7,1919,Costante Girardengo,Gaetano Belloni,Marcel Buysse,Italie,Italie,Belgique,Stucchi,26,112h 51min 29s,4 days 16:51:29,406289.0,,,26.44,63,3127,10,1919-05-21,1919-06-08,,,,,,,,,,,,,,,,,,
7,8,1920,Gaetano Belloni,Angelo Gremo,Jean Alavoine,Italie,Italie,France,Bianchi,27,102h 44min 33s,4 days 06:44:33,369873.0,,,25.64,49,2634,10,1920-05-23,1920-06-06,,,,,,,,,,,,,,,,,,
8,9,1921,Giovanni Brunero,Gaetano Belloni,Bartolomeo Aymo,Italie,Italie,Italie,Bianchi,25,120h 24min 39s,5 days 00:24:39,433479.0,,,25.592,69,3101,10,1921-05-25,1921-06-12,,,,,,,,,,,,,,,,,,
9,10,1922,Giovanni Brunero,Bartolomeo Aymo,Giuseppe Enrici,Italie,Italie,Italie,Legnano,26,119h 43min 00s,4 days 23:43:00,430980.0,,,25.855999999999998,75,3093,10,1922-05-24,1922-06-11,,,,,,,,,,,,,,,,,,
10,11,1923,Costante Girardengo,Giovanni Brunero,Bartolomeo Aymo,Italie,Italie,Italie,Legnano,30,122h 28min 17s,5 days 02:28:17,440897.0,,,25.895,96,3200,10,1923-05-23,1923-06-10,,,,,,,,,,,,,,,,,,
11,12,1924,Giuseppe Enrici,Federico Gay,Angiolo Gabrielli,Italie,Italie,Italie,,26,143h 43min 37s,5 days 23:43:37,517417.0,,,25.138,90,3613,12,1924-05-10,1924-06-01,,,,,,,,,,,,,,,,,,
