;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta
0;1903;Maurice Garin;Lucien Pothier;Fernand Augereau;France;La Française;32;94hr 33min 14sec;3 days 22:33:14.000000000
1;1904;Henri Cornet;Jean-Baptiste Dortignacq;Aloïs Catteau;France;Cycles JC;20;96hr 5min 55sec;4 days 00:05:55.000000000
2;1905;Louis Trousselier;Hippolyte Aucouturier;Jean-Baptiste Dortignacq;France;Peugeot;24;;
3;1906;René Pottier;Georges Passerieu;Louis Trousselier;France;Peugeot;27;;
4;1907;Lucien Petit-Breton;Gustave Garrigou;Émile Georget;France;Peugeot;24;;
5;1908;Lucien Petit-Breton;François Faber;Georges Passerieu;France;Peugeot;25;;
6;1909;François Faber;Gustave Garrigou;Jean Alavoine;Luxembourg;Alcyon;22;;
7;1910;Octave Lapize;François Faber;Gustave Garrigou;France;Alcyon;22;;
8;1911;Gustave Garrigou;Paul Duboc;Émile Georget;France;Alcyon;29;;
9;1912;Odile Defraye;Eugène Christophe;Gustave Garrigou;Belgium;Alcyon;24;;
10;1913;Philippe Thys;Gustave Garrigou;Marcel Buysse;Belgium;Peugeot;23;197hr 54min 0sec;8 days 05:54:00.000000000
11;1914;Philippe Thys;Henri Pélissier;Jean Alavoine;Belgium;Peugeot;24;200hr 28min 49sec;8 days 08:28:49.000000000
12;1919;Firmin Lambot;Jean Alavoine;Eugène Christophe;Belgium;La Sportive;33;231hr 7min 15sec;9 days 15:07:15.000000000
13;1920;Philippe Thys;Hector Heusghem;Firmin Lambot;Belgium;La Sportive;30;228hr 36min 13sec;9 days 12:36:13.000000000
14;1921;Léon Scieur;Hector Heusghem;Honoré Barthélemy;Belgium;La Sportive;33;221hr 50min 26sec;9 days 05:50:26.000000000
15;1922;Firmin Lambot;Jean Alavoine;Félix Sellier;Belgium;Peugeot;36;222hr 8min 6sec;9 days 06:08:06.000000000
16;1923;Henri Pélissier;Ottavio Bottecchia;Romain Bellenger;France;Automoto;34;222hr 15min 30sec;9 days 06:15:30.000000000
17;1924;Ottavio Bottecchia;Nicolas Frantz;Lucien Buysse;Italy;Automoto;30;226hr 18min 21sec;9 days 10:18:21.000000000
18;1925;Ottavio Bottecchia;Lucien Buysse;Bartolomeo Aymo;Italy;Automoto;31;219hr 10min 18sec;9 days 03:10:18.000000000
19;1926;Lucien Buysse;Nicolas Frantz;Bartolomeo Aymo;Belgium;Automoto;33;238hr 44min 25sec;9 days 22:44:25.000000000
20;1927;Nicolas Frantz;Maurice De Waele;JulienVervaecke;Luxembourg;Alcyon;28;198hr 16min 42sec;8 days 06:16:42.000000000
21;1928;Nicolas Frantz;André Leducq;Maurice De Waele;Luxembourg;Alcyon;29;192hr 48min 58sec ;8 days 00:48:58.000000000
